,compound,counter,date_created,negative,neutral,positive,source,text in tweet
199,0.784,19,2018-02-26 18:32:36,0.0,0.734,0.266,CBS,RT @SuperiorDonuts: You can always count on @DavidKoechner for a laugh! Did your favorite Tush moment make the list? Catch a new #SuperiorD…
198,0.4482,18,2018-02-26 19:53:41,0.0,0.895,0.105,CBS,"RT @ScorpionCBS: You can't hack your way to a 197 IQ, but you are well on your way with these Genius Facts from #TeamScorpion! 💻 You can be…"
197,0.0,17,2018-02-26 21:08:30,0.0,1.0,0.0,CBS,"RT @ACMawards: That’s right! @Reba is headed to @CBSThisMorning on Thursday, March 1 to announce this year’s #ACMAwards' nominees. Tune in…"
196,0.0,16,2018-02-26 22:50:32,0.0,1.0,0.0,CBS,"RT @KevinCanWaitCBS: Can you get all the way through these #KevinCanWait bloopers without laughing?! @KevinJames,@LeahRemini and the rest o…"
195,0.5562,15,2018-02-27 03:23:47,0.0,0.848,0.152,CBS,RT @LivinBiblically: The fun continues on Facebook! The #LivingBiblically cast is live to talk about tonight’s premiere. Tune in here: http…
194,0.4404,14,2018-02-28 19:08:30,0.0,0.884,0.116,CBS,"RT @thegoodfight: From the set design and costumes to hair and makeup, the production quality is truly next-level. Take a peek inside the u…"
193,0.0,13,2018-02-28 19:56:58,0.0,1.0,0.0,CBS,"RT @CBSThisMorning: TOMORROW: The nominees for the 2018 @ACMawards will be announced live by the one-and-only, @Reba! 

Watch on @CBS in ou…"
192,0.0,12,2018-03-01 01:04:52,0.0,1.0,0.0,CBS,RT @survivorcbs: It’s time! #Survivor https://t.co/YPk6cGWrUA
191,0.0,11,2018-03-01 13:50:11,0.0,1.0,0.0,CBS,"The Queen of Country, @Reba, is returning to host the 53rd #ACMawards on Sunday, April 15 at 8/7c. Here are a few o… https://t.co/Iqzz6Gql01"
190,0.6908,10,2018-03-01 14:15:29,0.0,0.725,0.275,CBS,".@ChrisStapleton, @ThomasRhett, @mirandalambert and more are all nominated for awards at Country Music's Party of t… https://t.co/Vm1vXRUDYJ"
189,0.7717,9,2018-03-01 14:29:20,0.0,0.675,0.325,CBS,"RT @ACMawards: Please give a round of applause to this year’s #ACMawards Entertainer of the Year nominees: @Jason_Aldean, @GarthBrooks, @Lu…"
188,0.5994,8,2018-03-01 14:36:21,0.0,0.822,0.178,CBS,"RT @ACMawards: Congratulations to this year’s #ACMawards Video of the Year nominees:
“Black” - @DierksBentley
“It Ain’t My Fault” - @Brothe…"
187,0.4885,7,2018-03-01 18:10:50,0.151,0.615,0.234,CBS,RT @KeithUrban: ACMs...... HOLY SMOKES!!!!! MAD LOVE TO U ALL THIS MORNING  FOR THESE INCREDIBLE NOMINATIONS. I’M EXTREMELY GRATEFUL!!!!!!!…
186,0.8591,6,2018-03-01 18:11:50,0.0,0.462,0.538,CBS,RT @KelseaBallerini: Ohhhhh goodness. Incredible. Thank you thank you thank you. #female https://t.co/1ZTYjNfQeF
185,0.4547,5,2018-03-01 18:12:57,0.092,0.749,0.159,CBS,"RT @MarenMorris: Hot damn! Woke up from my post-wisdom teeth haze to find out I’m up for 4 @ACMawards ! So honored, especially for the Dear…"
184,-0.6981,4,2018-03-01 18:59:01,0.21,0.79,0.0,CBS,RT @ZoeListerJones: Tonight’s an all new Life In Pieces and it’s directed by my ride or die @nataliaanderson!!!… https://t.co/2LPfmyLWrY
183,0.4939,3,2018-03-02 18:45:00,0.0,0.849,0.151,CBS,"In honor of Women's History Month, CBS and the Association of National Advertisers' (ANA) #SeeHer initiative will p… https://t.co/2wtYxKJVuO"
182,0.7096,2,2018-03-02 20:30:01,0.0,0.718,0.282,CBS,"Join @maria_bello, @aishatyler and @TeaLeoni in celebrating the accomplishments of women who have contributed to th… https://t.co/MefESBeFL3"
181,0.7096,1,2018-03-02 22:30:01,0.0,0.753,0.247,CBS,"Who are the trailblazing women in your life that inspire you? Join CBS and the ANA's #SeeHer initiative, celebratin… https://t.co/M0KqZ41Bes"
180,0.0,0,2018-03-03 20:55:20,0.0,1.0,0.0,CBS,"RT @thegoodfight: Tomorrow, #TheGoodFight is back. Stream the season 2 premiere only on CBS All Access: https://t.co/tNFR8LBJO2 https://t.c…"
